AREA,ETAPA,INDICADOR,TIPO,SUBTIPO,STATUS,OBSERVACAO,DESCRICAO
Previdenciario,Implantação,Acordo Agendado,Implantação,Acordo Realizado,"Pendente, Não Cumprido e Iniciado",Voltar para o setor de implantação para verificar se o acordo foi efetuado e se os valores batem com o calculado,
Previdenciario,Análise Final Previdenciária,Análise Final Previdenciária,Análise,Análise Final,"Pendente, Não Cumprido",Informa que a tarefa ainda nao esta sendo tratada pelo setor de implantação,
Previdenciario,Análise Final Previdenciária,Análise Final Previdenciária,Análise,Análise Final,Iniciado,Informa que a pendencia ja esta sendo tratada,
Cível,Análise Final Cível,Análise Final Cível,Análise,Tentativa Cível,"Pendente, Não Cumprido",Informa que a tarefa ainda nao esta sendo tratada pelo setor de implantação,
Cível,Análise Final Cível,Análise Final Cível,Análise,Tentativa Cível,Iniciado,Informa que a pendencia ja esta sendo tratada,
Previdenciario,Confecção,Pastas a serem distribuidas,Inicial,Enviada p/ Confecção,"Pendente, Não Cumprido e Iniciado",Informa que a tarefa ainda nao esta sendo tratada,
Previdenciario,Confecção,Inicial na Confecção,Inicial,Inicial enviada para confecção,"Pendente, Não Cumprido",Informa que a tarefa ainda nao esta sendo tratada pelo setor de implantação,
Previdenciario,Confecção,Inicial na Confecção,Inicial,Inicial enviada para confecção,Iniciado,Informa que a tarefa ja esta sendo tratada,
Previdenciario,Confecção,Inicial na Revisão,Inicial,Inicial enviada para revisão,"Pendente, Não Cumprido",Informa que a tarefa ainda nao esta sendo tratada pelo setor de implantação,
Previdenciario,Confecção,Inicial na Revisão,Inicial,Inicial enviada para revisão,Iniciado,Informa que a tarefa ja esta sendo tratada,
Previdenciario,Confecção,Inicial Revisada para Protocolar,Inicial,Inicial Revisada para Protocolar,"Pendente, Não Cumprido",Informa que a tarefa ainda nao esta sendo tratada pelo setor de implantação,
Previdenciario,Confecção,Inicial Revisada para Protocolar,Inicial,Inicial Revisada para Protocolar,Iniciado,Informa que a tarefa ja esta sendo tratada,
Previdenciario,Confecção,Inicial enviada ao protocolo,Inicial,Inicial enviada ao protocolo,"Pendente, Não Cumprido",Informa que a tarefa ainda nao esta sendo tratada pelo setor de implantação,
Previdenciario,Confecção,Inicial enviada ao protocolo,Inicial,Inicial enviada ao protocolo,Iniciado,Informa que a tarefa ja esta sendo tratada,
Cível,Confecção,Inicial enviada ao protocolo - Cível,Inicial,Inicial enviada ao protocolo - Cível,"Pendente, Não Cumprido",Informa que a tarefa ainda nao esta sendo tratada pelo setor de implantação,
Cível,Confecção,Inicial enviada ao protocolo - Cível,Inicial,Inicial enviada ao protocolo - Cível,Iniciado,Informa que a tarefa ja esta sendo tratada,
